순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"645","컴퓨터/모바일","도커/쿠버네티스를 활용한 컨테이너 개발 실전 입문","K792635466","9791158391447","93000","위키북스","야마다 아키노리 지음, 심효섭 옮김","28,000","25,200","2,800","10%","1,400점","20190320","1872"
"646","컴퓨터/모바일","HTML5 + CSS3 + JavaScript로 배우는 웹프로그래밍 기초","8992649207","9788992649209","93000","인피니티북스","천인국 지음","28,000","28,000","0","0%","1,400점","20131219","1869"
"647","컴퓨터/모바일","모던 웹을 위한 JavaScript + jQuery 입문","8968483558","9788968483554","93000","한빛미디어","윤인성 지음","32,000","28,800","3,200","10%","1,600점","20170501","1837"
"648","컴퓨터/모바일","소프트웨어 장인","K162434762","9791186659489","93560","길벗","산드로 만쿠소 지음, 권오인 옮김","22,000","19,800","2,200","10%","1,100점","20150925","1819"
"649","컴퓨터/모바일","엑셀과 파워포인트 2013","6000837225","9791156641773","93000","한빛아카데미(교재)","박보석 외 지음","22,000","22,000","0","0%","0점","20150411","1771"
"650","컴퓨터/모바일","돈 되는 안드로이드 앱 만들기","8931461313","9788931461312","93000","영진.com(영진닷컴)","조상철 지음","29,000","26,100","2,900","10%","1,450점","20190830","1759"
"651","컴퓨터/모바일","파이썬 데이터 분석 입문","K292531631","9791162240144","93000","한빛미디어","클린턴 브라운리 지음, 한창진 외 옮김","27,000","24,300","2,700","10%","1,350점","20171025","1755"
"652","컴퓨터/모바일","서비스 운영이 쉬워지는 AWS 인프라 구축 가이드","K812534832","9791158391317","93000","위키북스","김담형 지음","27,000","24,300","2,700","10%","1,350점","20190124","1753"
"653","컴퓨터/모바일","뇌를 자극하는 C++ STL","8979149131","9788979149135","93560","한빛미디어","공동환 지음","28,000","25,200","2,800","10%","1,400점","20120402","1704"
"654","컴퓨터/모바일","수학으로 풀어보는 강화학습 원리와 알고리즘","K682637700","9791158391904","93000","위키북스","박성수 지음","28,000","25,200","2,800","10%","1,400점","20200212","1695"
"655","컴퓨터/모바일","포토샵 CS6 Using Bible","896030333X","9788960303331","13000","황금부엉이","송병용.주경숙 지음","22,800","20,520","2,280","10%","1,140점","20130123","1695"
"656","컴퓨터/모바일","미남 드로잉","8960882224","9788960882225","13650","디지털북스(아이생각)","다비 지음","20,000","18,000","2,000","10%","1,000점","20180215","1684"
